ED_CODE,ED_NAMEE,ED_NAMEF,POPULATION,,,,Pop Exist?,KML Districts,Refine
46011,Winnipeg Centre,Winnipeg-Centre,85949,,TRUE,326,326,Surrey--Newton,
46012,Winnipeg North,Winnipeg-Nord,95676,,TRUE,327,#N/A,Vancouver-Centre,
46013,Winnipeg South,Winnipeg-Sud,99678,,TRUE,328,#N/A,Vancouver-Est,
46014,Winnipeg South Centre,Winnipeg-Centre-Sud,93053,,TRUE,329,329,Vancouver Granville,
47001,Battlefords--Lloydminster,Battlefords--Lloydminster,73506,,TRUE,331,331,Vancouver Kingsway,
47002,Cypress Hills--Grasslands,Cypress Hills--Grasslands,68353,,TRUE,332,332,Vancouver Quadra,
47003,Desnethé--Missinippi--Churchill River,Desnethé--Missinippi--Rivière Churchill,70891,,TRUE,333,#N/A,Vancouver-Sud,
47004,Carlton Trail--Eagle Creek,Sentier Carlton--Eagle Creek,80662,,TRUE,334,334,Victoria,
47005,Moose Jaw--Lake Centre--Lanigan,Moose Jaw--Lake Centre--Lanigan,79733,,TRUE,335,335,West Vancouver--Sunshine Coast--Sea to Sky Country,
47006,Prince Albert,Prince Albert,79625,,TRUE,336,336,Yukon,
47007,Regina--Lewvan,Regina--Lewvan,92426,,TRUE,337,#N/A,Territoires du Nord-Ouest,
47008,Regina--Qu'Appelle,Regina--Qu'Appelle,76017,,TRUE,338,338,Nunavut,
47009,Regina--Wascana,Regina--Wascana,84153,,TRUE,2,2,Bonavista--Burin--Trinity,
47010,Saskatoon--Grasswood,Saskatoon--Grasswood,82946,,TRUE,1,1,Avalon,
47011,Saskatoon--University,Saskatoon--University,82663,,TRUE,316,316,Port Moody--Coquitlam,
47012,Saskatoon West,Saskatoon-Ouest,83711,,TRUE,320,320,Saanich--Gulf Islands,
47013,Souris--Moose Mountain,Souris--Moose Mountain,72635,,TRUE,317,317,Prince George--Peace River--Northern Rockies,
47014,Yorkton--Melville,Yorkton--Melville,71031,,TRUE,318,#N/A,Richmond-Centre,
48001,Banff--Airdrie,Banff--Airdrie,135762,,TRUE,319,319,Esquimalt--Saanich--Sooke,
48002,Battle River--Crowfoot,Battle River--Crowfoot,110223,,TRUE,321,321,Skeena--Bulkley Valley,
48003,Bow River,Bow River,115022,,TRUE,322,#N/A,Okanagan-Sud--Kootenay-Ouest,
48004,Calgary Centre,Calgary-Centre,119176,,TRUE,23,23,Acadie--Bathurst,
48005,Calgary Confederation,Calgary Confederation,122023,,TRUE,24,24,Beauséjour,
48006,Calgary Forest Lawn,Calgary Forest Lawn,111830,,TRUE,25,25,Fredericton,
48007,Calgary Heritage,Calgary Heritage,112087,,TRUE,26,26,Fundy Royal,
48008,Calgary Midnapore,Calgary Midnapore,121844,,TRUE,27,27,Madawaska--Restigouche,
